pitcher_id,ti_1,ta_1,ti40_1,ta40_1,n_1,null_ti_1,excess_ti_1,null_ta_1,excess_ta_1,null_ti40_1,excess_ti40_1,null_ta40_1,excess_ta40_1,level_1,ti_2,ta_2,ti40_2,ta40_2,n_2,null_ti_2,excess_ti_2,null_ta_2,excess_ta_2,null_ti40_2,excess_ti40_2,null_ta40_2,excess_ta40_2,level_2
663893,0.82118064,0.5927469,1.3618554,1.3114344,295,0.8424307,-0.02125007,0.5985413,-0.005794406,1.371698,-0.009842634,1.2957702,0.01566422,game_type,0.8274837,0.6124668,1.261396,1.3071086,452,0.8363293,-0.008845568,0.58373755,0.02872926,1.273673,-0.012277007,1.2666564,0.040452242,game_type
663903,0.72441494,0.64236116,1.231244,1.276098,809,0.7548694,-0.030454457,0.59813535,0.044225812,1.2399381,-0.008694172,1.2083762,0.06772184,game_type,0.6908068,0.6052919,1.1703951,1.2268142,868,0.71375966,-0.022952855,0.593088,0.012203932,1.1966772,-0.026282072,1.1794386,0.04737556,game_type
663941,0.19332823,0.6097322,0.5739521,1.2751176,195,0.19520767,-0.0018794388,0.54820025,0.06153196,0.60393274,-0.02998066,1.1619897,0.11312795,game_type,0.16582808,0.48085606,0.48250452,1.0080416,232,0.206089,-0.040260926,0.4536076,0.027248472,0.5753297,-0.092825204,0.97773963,0.030301988,game_type
663947,0.85219306,0.6097126,1.2245758,1.2371025,279,0.81355864,0.03863442,0.65056145,-0.04084885,1.2073883,0.017187476,1.2783117,-0.04120922,game_type,0.89740217,0.6571869,1.1872056,1.3040748,314,0.8954002,0.0020019412,0.6004793,0.05670762,1.204613,-0.017407417,1.1990284,0.10504639,game_type
663969,0.51373494,0.5311544,0.7051598,0.98559684,263,0.54061186,-0.026876926,0.539189,-0.008034587,0.75272524,-0.04756546,0.9882826,-0.0026857853,game_type,0.49786302,0.60280526,0.68118536,1.1248922,265,0.5184903,-0.02062729,0.58923566,0.013569593,0.7755843,-0.094398916,1.095104,0.029788256,game_type
663978,0.69526494,0.6620297,1.1169126,1.2525724,646,0.6742294,0.021035552,0.64075696,0.021272719,1.1215838,-0.004671216,1.210397,0.042175412,game_type,0.6553602,0.61694044,1.0901401,1.1823426,768,0.64947295,0.00588727,0.6153148,0.0016256571,1.1115152,-0.02137506,1.1616653,0.020677328,game_type
663992,0.7109329,0.7437561,1.2434349,1.5501158,40,0.7432298,-0.032296896,0.73231596,0.011440158,1.3297807,-0.08634579,1.5341923,0.0159235,game_type,0.89404756,0.711321,1.395617,1.3491333,31,0.97906286,-0.0850153,0.7339963,-0.022675276,1.3969204,-0.0013034344,1.4642899,-0.11515665,game_type
664062,0.7081529,0.5704616,1.2219992,1.1891508,183,0.6124728,0.09568012,0.5782082,-0.007746637,1.1021893,0.119809866,1.196289,-0.007138133,game_type,0.7655895,0.62693727,1.3584805,1.2641877,156,0.7274589,0.03813058,0.5916293,0.035307944,1.2959636,0.06251681,1.2017032,0.062484503,game_type
664076,0.7739311,0.5187293,1.0081816,1.098992,199,0.7509861,0.022944987,0.5333265,-0.0145971775,1.0359204,-0.02773881,1.0839249,0.0150671005,game_type,0.685576,0.6439971,0.92423564,1.2084736,229,0.72113836,-0.035562336,0.6487076,-0.004710555,0.99658704,-0.072351396,1.2452701,-0.03679657,game_type
664123,0.35848287,0.63029915,0.9925414,1.2671025,35,0.53642935,-0.17794648,0.63176566,-0.0014665127,1.1452839,-0.15274256,1.2788363,-0.01173377,game_type,0.22831628,0.45065,0.7688123,1.0606893,18,0.27282637,-0.044510096,0.5089401,-0.058290094,0.76976836,-0.0009560585,1.1336291,-0.07293975,game_type
